"Identifier","AS Severity","Headline","CDETS Link","CloudApps Link","CloudApps Alternate Link","Fixed Releases"
"CSCvc58392","S1","OTV: Random packets with DMAC of 4xxx.xxxx.xxxx are dropped in OTV VDC","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvc58392"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvc58392"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvc58392"")",""
"CSCve23321","S2","N7K-M224XP-23L > Multicast traffic is sent to inband of LC instead of Front ports i.e OIL","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCve23321"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCve23321"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCve23321"")","8.2(0)SK(0.62)"
"CSCuj58795","S2","IGMP state not created after clearing igmp snooping","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCuj58795"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCuj58795"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCuj58795"")","7.0(0)KM(0.37), 7.1(0)ARP(0.2), 7.0(0)ZN(0.35), 6.0(2)N3(1), 7.0(0)ZD(0.136), 7.1(0)D1(0.43), 7.0(0)BNZ(0.23), 7.1(0)ZD(0.95), 7.0(1)N1(1), 7.0(1)N1(0.47)"
"CSCuw39946","S2","MAC learnt on non existent F2e port","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCuw39946"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCuw39946"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCuw39946"")","7.3(0)D1(0.140), 7.3(0)RSP(0.7), 7.3(0)OTT(0.73), 7.3(0)SC(0.14), 7.3(0)D1(1), 7.3(0)GLF(0.25), 7.3(0)TSH(0.99), 7.3(0)PDB(0.79)"
"CSCve46211","S2","ethpcm crash when trying to allocate memory","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCve46211"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCve46211"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCve46211"")","7.3(2)D1(2), 8.2(0)SK(0.65)"
"CSCus62432","S2","RP not treating itself as rp for remote source traffic.","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCus62432"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCus62432"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCus62432"")","7.2(0)ZD(0.103), 7.0(0)KMS(0.11), 6.0(2)A6(0.44), 6.0(2)U6(1), 7.0(0)HSK(0.395), 7.2(0)VZD(0.6), 7.2(0)N1(1), 7.2(0)ZN(0.122), 6.0(2)U6(0.44), 7.0(0)KM(0.119), 6.0(2)A6(1), 7.1(0)AV(0.74), 7.0(0)BZ(0.46), 7.2(0)FM(0.3), 7.2(0)PDB(0.359), 7.2(0)RTG(0.78), 7.1(0)ES(0.7), 7.2(0)D1(0.422), 7.2(0)CF(0.11)"
"CSCuy91992","S2","OTV : startup routes missing in MFIB post encap mode change","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCuy91992"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCuy91992"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCuy91992"")","7.3(0)DX(0.130), 7.3(0)DG(0.3), 7.3(1)FTO(0.7), 8.3(0)CV(0.436), 7.3(0)FFF(0.63), 7.3(0)UCI(0.30), 8.3(0)MVA(0.14), 7.3(0)DX(1), 7.0(0)BZ(0.127)"
"CSCvc65466","S2","OTV fails to advertise mac after a mac move","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCvc65466"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCvc65466"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCvc65466"")","7.0(3)IGD7(0.123), 7.0(3)IBB6(0), 7.0(3)IGD7(0), 7.3(2)D1(1), 8.3(0)CV(0.854), 8.3(0)ISH(0.29), 8.1(1), 7.0(3)IBB6(0.3), 8.1(0.4)S0, 8.1(0)BD(0.21), 7.0(3)IGT7(0.19), 7.0(3)IGT7(0), 7.3(2)D1(0.40), 7.3(2)N1(0.374), 6.2(18)E2, 7.0(3)INK5(0), 7.3(2)N1(1), 7.0(3)INK5(0.54)"
"CSCur33396","S2","OTV cannot match extended vlan range","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCur33396"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCur33396"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCur33396"")","7.2(0)VZD(0.6), 7.1(0)ES(0.7), 7.1(0)AV(0.74), 7.2(0)D1(1), 7.2(0)RTG(0.65), 7.2(0)FM(0.3), 7.2(0)ZN(0.122), 7.2(0)ZD(0.103), 7.2(0)PDB(0.359), 7.2(0)D1(0.422), 7.2(0)N1(1), 7.2(0)CF(0.11)"
"CSCut93487","S2","OTV: AED stays inactive for all VLANs","=HYPERLINK(""https://cdetsng.cisco.com/webui/#view=CSCut93487"")","=HYPERLINK(""https://bst.cloudapps.cisco.com/bugsearch/bug/CSCut93487"")","=HYPERLINK(""https://quickview.cloudapps.cisco.com/quickview/bug/CSCut93487"")","8.3(0)CV(0.891), 8.1(1), 8.1(0.56)S0, 7.3(2)D1(0.48), 7.3(2)N1(0.392), 7.3(2)D1(1), 8.3(0)ISH(0.61), 8.3(0)CV(0.944), 7.3(2)N1(1)"
